Ministry,Department
"Minister of Agriculture, Livestock, Land and Irrigation","Agriculture and Agrarian Insurance Board"
"Minister of Agriculture, Livestock, Land and Irrigation","Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Agrarian Development"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Agriculture"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Animal Production and Health"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Cinnamon Development"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Export Agriculture"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Irrigation"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Land Commissioner General"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Land Title Settlement"
"Minister of Agriculture, Livestock, Land and Irrigation","Department of Land Use Policy Planning"
"Minister of Agriculture, Livestock, Land and Irrigation","Hector Kobbekaduwa Agrarian Research and Training Institute"
"Minister of Agriculture, Livestock, Land and Irrigation","Institute of Surveying and Mapping"
"Minister of Agriculture, Livestock, Land and Irrigation","Land Acquisition Board of Review"
"Minister of Agriculture, Livestock, Land and Irrigation","Land Reform Commission"
"Minister of Agriculture, Livestock, Land and Irrigation","Land Survey Council"
"Minister of Agriculture, Livestock, Land and Irrigation","Mahaweli Consultancy Bureau (Pvt) Ltd"
"Minister of Agriculture, Livestock, Land and Irrigation","Mahaweli Livestock Enterprise Limited"
"Minister of Agriculture, Livestock, Land and Irrigation","Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya"
"Minister of Agriculture, Livestock, Land and Irrigation","Milco (Pvt.) Ltd."
"Minister of Agriculture, Livestock, Land and Irrigation","National Agricultural Diversification and Settlement Authority"
"Minister of Agriculture, Livestock, Land and Irrigation","National Fertilizer Secretariat"
"Minister of Agriculture, Livestock, Land and Irrigation","National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)"
"Minister of Agriculture, Livestock, Land and Irrigation","National Institute of Post-Harvest Management"
"Minister of Agriculture, Livestock, Land and Irrigation","National Livestock Development Board and affiliated companies"
"Minister of Agriculture, Livestock, Land and Irrigation","Paddy Marketing Board"
"Minister of Agriculture, Livestock, Land and Irrigation","Sri Lanka Council for Agricultural Research Policy"
"Minister of Agriculture, Livestock, Land and Irrigation","Sri Lanka Mahaweli Authority"
"Minister of Agriculture, Livestock, Land and Irrigation","State Fertilizer Company Ltd."
"Minister of Agriculture, Livestock, Land and Irrigation","Survey Department of Sri Lanka"
"Minister of Buddhasasana, Religious and Cultural Affairs","Amaradeva Aesthetic and Research Centre"
"Minister of Buddhasasana, Religious and Cultural Affairs","Buddhasasana Fund"
"Minister of Buddhasasana, Religious and Cultural Affairs","Buddhist Renaissance Fund"
"Minister of Buddhasasana, Religious and Cultural Affairs","Central Cultural Fund"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Archaeology"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Buddhist Affairs"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Christian Religious Affairs"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Cultural Affairs"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Hindu Religious and Cultural Affairs"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Muslim Religious and Cultural Affairs"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of National Archives"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of National Museums"
"Minister of Buddhasasana, Religious and Cultural Affairs","Department of Public Trustee"
"Minister of Buddhasasana, Religious and Cultural Affairs","Galle Heritage Foundation"
"Minister of Buddhasasana, Religious and Cultural Affairs","Gramodaya Folk Arts Centre"
"Minister of Buddhasasana, Religious and Cultural Affairs","J.R. Jayewardene Centre"
"Minister of Buddhasasana, Religious and Cultural Affairs","Mahinda Rajapaksa National Tele Cinema Park"
"Minister of Buddhasasana, Religious and Cultural Affairs","National Arts Council"
"Minister of Buddhasasana, Religious and Cultural Affairs","National Film Corporation"
"Minister of Buddhasasana, Religious and Cultural Affairs","National Library and Documentation Services Board"
"Minister of Buddhasasana, Religious and Cultural Affairs","National Performing Arts Theatre (Nelum Pokuna)"
"Minister of Buddhasasana, Religious and Cultural Affairs","Public Performance Board"
"Minister of Buddhasasana, Religious and Cultural Affairs","S W R D Bandaranaike National Memorial Foundation"
"Minister of Buddhasasana, Religious and Cultural Affairs","Tower Hall Theatre Foundation"
"Minister of Buddhasasana, Religious and Cultural Affairs","“Ape Gama”"
"Minister of Defence","Api Wenuwen Api Fund"
"Minister of Defence","Coast Guard Department of Sri Lanka"
"Minister of Defence","Defence Research and Development Centre"
"Minister of Defence","Defence Services College"
"Minister of Defence","Defence Services Command and Staff College"
"Minister of Defence","Department of Meteorology"
"Minister of Defence","Disaster Management Centre"
"Minister of Defence","Institute of National Security Studies"
"Minister of Defence","Miloda Institute - as a Faculty of Kotelawala Defence University"
"Minister of Defence","National Authority for the Implementation of Chemical Weapons Convention"
"Minister of Defence","National Building Research Organization"
"Minister of Defence","National Cadet Corps"
"Minister of Defence","National Defence College"
"Minister of Defence","National Defence Fund"
"Minister of Defence","National Disaster Management Council"
"Minister of Defence","National Disaster Relief Services Centre"
"Minister of Defence","National Hydrographic Council "
"Minister of Defence","Office of the Chief of Defence Staff"
"Minister of Defence","Rakna Arakshana Lanka Ltd."
"Minister of Defence","Ranaviru Seva Authority"
"Minister of Defence","Sir John Kotelawala Defence University"
"Minister of Defence","Sri Lanka Air Force"
"Minister of Defence","Sri Lanka Army"
"Minister of Defence","Sri Lanka National Hydrographic Office"
"Minister of Defence","Sri Lanka Navy"
"Minister of Defence","State Intelligence Service"
"Minister of Digital Economy","Colombo Lotus Tower Management Co. (Pvt.) Ltd"
"Minister of Digital Economy","Data Protection Authority of Sri Lanka"
"Minister of Digital Economy","Department of Registration of Persons"
"Minister of Digital Economy","Information Technology Parks"
"Minister of Digital Economy","Information and Communication Technology Agency and Allied Institutions"
"Minister of Digital Economy","Online Safety Commission"
"Minister of Digital Economy","Sri Lanka Computer Emergency Readiness Team"
"Minister of Digital Economy","Sri Lanka Telecom and its Subsidiaries and Allied Institutions"
"Minister of Digital Economy","Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions"
"Minister of Education, Higher Education and Vocational Education","All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission"
"Minister of Education, Higher Education and Vocational Education","Buddhasravaka Bhikku University"
"Minister of Education, Higher Education and Vocational Education","Buddhist and Pali University of Sri Lanka"
"Minister of Education, Higher Education and Vocational Education","Ceylon German Technical Training Institute"
"Minister of Education, Higher Education and Vocational Education","Department of Educational Publications"
"Minister of Education, Higher Education and Vocational Education","Department of Examinations"
"Minister of Education, Higher Education and Vocational Education","Department of Technical Education and Training"
"Minister of Education, Higher Education and Vocational Education","Directorates of Education"
"Minister of Education, Higher Education and Vocational Education","National Apprenticeship and Industrial Training Authority"
