Institution Name,URL,url_2,url_3,lookup_status,lookup_error
Agriculture and Agrarian Insurance Board,soe.lk,aib.gov.lk,srilankalaw.lk,ok,
Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies,cecb.lk,cesl.lk,soe.lk,ok,
Department of Agrarian Development,phonebook.lk,rainbowpages.lk,alexa.lk,ok,
Department of Agriculture,doa.gov.lk,agrimin.gov.lk,landmin.gov.lk,ok,
Department of Animal Production and Health,np.gov.lk,daph.gov.lk,lankainformation.lk,ok,
Department of Cinnamon Development,cinnamon.gov.lk,island.lk,agrimin.gov.lk,ok,
Department of Export Agriculture,dea.gov.lk,doa.gov.lk,uwu.ac.lk,ok,
Department of Irrigation,irrigation.gov.lk,nsdi.gov.lk,irrigationmin.gov.lk,ok,
Department of Land Commissioner General,phonebook.lk,lankainformation.lk,dailymirror.lk,ok,
Department of Land Title Settlement,phonebook.lk,rti.gov.lk,landsettledept.gov.lk,ok,
Department of Land Use Policy Planning,nsdi.gov.lk,luppd.gov.lk,parliament.lk,ok,
Hector Kobbekaduwa Agrarian Research and Training Institute,harti.gov.lk,ips.lk,parliament.lk,ok,
Institute of Surveying and Mapping,ism.ac.lk,survey.gov.lk,srilankalaw.lk,ok,
Land Acquisition Board of Review,landmin.gov.lk,lst.lk,srilankalaw.lk,ok,
