Ministry,Department,URL,url_2,url_3,lookup_status,lookup_error
Minister of Health and Mass Media,Lanka Puwath Ltd,puwath.lk,soe.lk,companycheck.lk,ok,
Minister of Health and Mass Media,Medical Research Institute,mri.gov.lk,lankainformation.lk,sinhala.lankainformation.lk,ok,
Minister of Health and Mass Media,National Authority on Tobacco and Alcohol,nddcb.gov.lk,alcohol.lk,cct.lk,ok,
Minister of Health and Mass Media,National Health Council,nrc.gov.lk,health.gov.lk,ncmh.lk,ok,
Minister of Health and Mass Media,National Health Development Fund,parliament.lk,srilankalaw.lk,health.gov.lk,ok,
Minister of Health and Mass Media,National Institute of Health Sciences,elearn.health.gov.lk,sinhala.lankainformation.lk,,ok,
Minister of Health and Mass Media,"National Institute of Nephrology, Dialysis and Transplantation",nindt.health.gov.lk,lankainformation.lk,,ok,
Minister of Health and Mass Media,National Medicines Regulatory Authority,nmra.gov.lk,srilankalaw.lk,,ok,
Minister of Health and Mass Media,Postal Department,slpost.gov.lk,media.gov.lk,dev.slpost.lk,ok,
Minister of Health and Mass Media,Private Health Services Regulatory Council,phsrc.lk,health.gov.lk,healthdept.wp.gov.lk,ok,
Minister of Health and Mass Media,Right to Information Commission,rticommission.lk,rti.gov.lk,rtisrilanka.lk,ok,
Minister of Health and Mass Media,School of Medical Laboratory Technology,mri.gov.lk,coursenet.lk,ou.ac.lk,ok,
Minister of Health and Mass Media,Selacine Media Solutions (PVT) LTD,media.gov.lk,plusinfo.lk,island.lk,ok,
Minister of Health and Mass Media,Sri Jayewardenepura General Hospital,sjgh.health.gov.lk,parliament.lk,srilankalaw.lk,ok,
Minister of Health and Mass Media,Sri Lanka Ayurvedic Drugs Corporation,sladc.lk,soe.lk,rainbowpages.lk,ok,
Minister of Health and Mass Media,Sri Lanka Broadcasting Corporation,media.gov.lk,slbc.lk,sinhala.media.gov.lk,ok,
Minister of Health and Mass Media,Sri Lanka Foundation,slf.lk,fat.lk,,ok,
Minister of Health and Mass Media,Sri Lanka Institute of Printing,sliop.edu.lk,fat.lk,,ok,
Minister of Health and Mass Media,Sri Lanka Media Training Institute,slpi.lk,coursenet.lk,nibm.ac.lk,ok,
Minister of Health and Mass Media,Sri Lanka Medical College Council,slmc.gov.lk,cmcc.lk,mc.lk,ok,
Minister of Health and Mass Media,Sri Lanka Medical Council,slmc.gov.lk,mc.lk,,ok,
Minister of Health and Mass Media,Sri Lanka Nursing Council,slnc.lk,,,ok,
Minister of Health and Mass Media,Sri Lanka Press Council,media.gov.lk,slpc.lk,,ok,
Minister of Health and Mass Media,Sri Lanka Rupavahini Corporation,rupavahini.lk,media.gov.lk,tv.rupavahini.lk,ok,
Minister of Health and Mass Media,State Pharmaceutical Corporation,spc.lk,spmc.gov.lk,soe.lk,ok,
Minister of Health and Mass Media,State Pharmaceutical Manufacturing Corporation,spmc.gov.lk,spc.lk,soe.lk,ok,
Minister of Health and Mass Media,Vijaya Kumaratunga Memorial Hospital,health.gov.lk,parliament.lk,srilankalaw.lk,ok,
"Minister of Housing, Construction and Water Supply",Building Material Corporation Limited,rainbowpages.lk,soe.lk,auditorgeneral.gov.lk,ok,
"Minister of Housing, Construction and Water Supply",Construction Guarantee Fund,cgf.gov.lk,cgf.brama.lk,rainbowpages.lk,ok,
"Minister of Housing, Construction and Water Supply",Construction Industry Development Authority,cida.gov.lk,srilankalaw.lk,rainbowpages.lk,ok,
"Minister of Housing, Construction and Water Supply",Department of Buildings,buildings.gov.lk,lankainformation.lk,contacts.lk,ok,
"Minister of Housing, Construction and Water Supply",Department of Government Factories,govtfactory.gov.lk,sinhala.lankainformation.lk,,ok,
"Minister of Housing, Construction and Water Supply",Department of National Community Water Supply,dncws.lk,waterboard.lk,web.rwss.lk,ok,
"Minister of Housing, Construction and Water Supply",Engineering Council of Sri Lanka,ecsl.gov.lk,iiesl.lk,iesl.lk,ok,
"Minister of Housing, Construction and Water Supply",National Equipment and Machinery Organization,cabinetoffice.gov.lk,moudh.gov.lk,,ok,
"Minister of Housing, Construction and Water Supply",National Housing Development Authority,nhda.gov.lk,lankainformation.lk,uda.gov.lk,ok,
